Case number,Complainant,Defendant,Defendant's industry,What was the complainant complaining about,What product involved in the complaint,Three key words on this complaint,Three key topics on this complaint,Claimed value in pounds,When did it happen? (date only),Final decision (uphold or opposite),Ombudsman's name,Decision deadline,what was the complaint relating to,what was the main reason that the complainant gave for them complaining,What did the complaint want,Summary of what happened,Summary of the Ombudsman's reasoning
DRN-4328802,Mr B,Lloyds Bank PLC,Banking,Unhappy that Lloyds Bank PLC haven't reimbursed him after he fell victim to a scam.,Bank transfer,"scam, bank transfer, reimbursement","fraud, online banking, customer protection",1000.0,,Dont uphold,James Kimmitt,10 November 2023,Unhappy that Lloyds Bank PLC haven't reimbursed him after he fell victim to a scam.,"He was asked to pay for flights by bank transfer, which he found strange, and the bank's warning about scams should have put him on notice that he was taking a significant risk.",Reimbursement of the money he lost in the scam.,"Mr. B fell victim to a scam when he tried to purchase airline tickets. He was tricked into making a bank transfer to a fake travel agent and did not receive the flights he had paid for. Lloyds Bank declined to reimburse him, arguing that he should have been more cautious and that the bank's warning about scams should have put him on notice.","The Ombudsman agreed with the bank that Mr. B should have been more cautious and that the bank's warning about scams should have put him on notice. Therefore, the Ombudsman did not uphold the complaint."
DRN-4333800,Mr A,Lloyds Bank PLC (Lloyds),Banking,Refusal to refund losses after falling victim to a scam.,Investment platform,"Investment scam, Intervention, Dishonest answers","Intervention failure, Duty of care, Scam awareness",,,Not upheld,Asma Begum,3 October 2023,Investment scam,Lloyds failed to intervene and prevent the scam despite red flags.,Refund of lost money,"Mr. A fell victim to an investment scam where he was persuaded to transfer money to a fraudulent platform. Despite some interventions by Lloyds, Mr. A's dishonest answers during those calls prevented the scam from being discovered. Lloyds argues that it could not have retrieved the money or helped Mr. A recover his losses.","The Ombudsman acknowledges that Lloyds should have intervened earlier, specifically on a payment of £8,200 on 30th July 2022. However, based on Mr. A's dishonest answers during intervention calls, the Ombudsman concludes that an earlier intervention would not have likely succeeded in discovering the scam. Therefore, the Ombudsman finds no reason to depart from the provisional decision and does not uphold the complaint."
DRN-4336129,Mr R,Lloyds Bank PLC,Banking,Lloyds Bank PLC's refusal to refund a transaction he says he didn't make or otherwise authorise.,Mobile banking app,"Unauthorised transaction, Mobile banking, Liability","Unauthorised payment, Liability for unauthorised transactions, Mobile banking security",4800.0,late 2022,Dont uphold,Adam Charles,4 October 2023,Unauthorised transaction,He didn't recognise the payment and believes it was fraudulent.,Refund of the unauthorised transaction,"Mr R's mobile banking app was used to make an unauthorised payment of £4,800 to a third party. Lloyds Bank held Mr R liable for the payment, as it was made using his mobile app, login details, and biometrics. Mr R appealed the decision, arguing that another mobile device had been registered before the payment. The Ombudsman investigated the complaint and found that the new device was set up with Mr R's consent and that he was aware of it at the time. The Ombudsman also noted that the disputed payment was funded by a large credit into Mr R's account shortly beforehand, which suggests that the person who made the payment knew about the incoming credit.","The Ombudsman considered all the available evidence and arguments and concluded that there was not a likely or plausible way that the payment could have been made without Mr R's consent. Therefore, the Ombudsman found that it was fair for Lloyds Bank to hold Mr R liable for the payment."
DRN-4337417,Mr C,Lloyds Bank PLC,Banking,Declined Section 75 claim under Consumer Credit Act 1974,Credit card,"['Section 75', 'Deposit refund', 'Cancellation policy']","['Consumer rights', 'Contract disputes', 'Financial services']",3780.0,4 February 2022,Dont uphold,Emma Davy,18 October 2023,Supplier failed to return deposit for a garden room after the order was cancelled.,Supplier breached the contract by not refunding the deposit within the agreed cancellation period.,Refund of the deposit,"Mr. C paid a deposit of £3,780 to a supplier for a garden room using his Lloyds credit card. Due to a change in circumstances, he cancelled the order within 14 days, but the supplier failed to refund the deposit. He raised a section 75 claim with Lloyds, which was declined.","The Ombudsman found that there was insufficient evidence to prove that the supplier breached the contract by failing to return the deposit within the 14-day cancellation period. The supplier's text message suggested that Mr. C had canceled after the 14-day period, and Mr. C's initial claim to Lloyds indicated that he had contacted the supplier in March 2022, which would have been outside the cancellation period."
DRN-4358170,Mr T,Lloyds Bank PLC,Banking,Unpaid cheques and inadequate internal checking procedures,Cheques,"Unpaid cheques, Signature mismatch, Internal checking procedures","Cheque processing, Security concerns, Customer inconvenience",,11 July 2023,Dont uphold,Jag Dhuphar,15 November 2023,Service received from Lloyds Bank PLC when it returned his cheques unpaid,Lloyds should have contacted him by telephone to discuss the cheque and believes Lloyds has inadequate internal checking procedures which made the process inconvenient,"An apology, compensation for the inconvenience caused, and a review of Lloyds' internal checking procedures",Mr. T wrote two cheques from his Lloyds account which were returned unpaid due to a signature mismatch. He believes Lloyds should have identified that the cheques were payable to himself and not a security risk. He also criticizes Lloyds' internal checking procedures and claims to have lost interest because of the delay in processing his cheque.,"The Ombudsman considered the evidence and found that Lloyds had legitimate security concerns in stopping the cheque due to the significant difference between Mr. T's signature on the cheque and the one on record. While acknowledging the inconvenience caused to Mr. T, the Ombudsman concluded that Lloyds' actions were fair and reasonable in the circumstances. The Ombudsman also noted that Lloyds had paid £50 to Mr. T as a gesture of goodwill."
DRN-4384519,Mr R,Lloyds Bank PLC (Lloyds),Banking,Lloyds unfairly turned down his claim made about something bought using his credit card.,Credit card,"Credit card, misrepresentation, unfairness","Consumer Credit Act, debtor-creditor-supplier agreement, unfair relationship",5000.0,2022,opposite,Mark Hutchings,3 November 2023,Credit card payment for holiday club membership,Lloyds did not consider his claim properly and turned it down.,Lloyds to uphold his claim and compensate him for the misrepresentation and unfairness.,"Mr. R made a claim to Lloyds under sections 75 and 140A of the Consumer Credit Act 1974 (CCA), alleging misrepresentation and unfair relationship with the holiday club membership provider, Business H. Lloyds declined the claim, stating that there was no valid debtor-creditor-supplier agreement in place. Mr. R disputed this decision and the complaint was referred to the Ombudsman.","The Ombudsman agreed with Lloyds that there was no debtor-creditor-supplier agreement in place between Mr. R and Lloyds, as the payment for the holiday club membership was not made directly to Business H using Mr. R's credit card. The Ombudsman also considered the unfair relationship argument but found no unfairness in the debtor-creditor relationship between Mr. R and Lloyds. Therefore, the Ombudsman did not uphold Mr. R's complaint."
DRN-4389241,Mr B and Mrs L,Lloyds Bank PLC,Banking,"Lloyds Bank PLC initially agreed to let them port Mr B's existing lending and add Mrs L to buy a new home, but at the last minute, Lloyds said no because of the property type.",Mortgage,"Mortgage porting, valuation, property type","Delays in mortgage application, Incorrect valuation of property, Lack of communication",,,uphold in part,Esther Absalom-Gough,7 November 2023,Mortgage application and valuation issues,"Lloyds Bank PLC's poor service, including delays, lack of communication, and an incorrect valuation of the property, caused them significant stress and financial loss.",Reinstatement of Mr B's previous mortgage or repayment of the early redemption fee (ERC) charged by Lloyds.,"Mr. B and Mrs. L applied to port Mr. B's existing mortgage to purchase a new property. Due to miscommunication and delays, their application faced several setbacks. Despite providing necessary information and documentation, the valuation report showed the property as partly commercial, leading to Lloyds' decision not to lend. The complainants felt they were not informed about this issue earlier, causing them stress and financial difficulties.","The Ombudsman acknowledged Lloyds' initial poor service and offered £150 as compensation. However, the main issue arose from the mortgage advisor's failure to communicate the property details accurately, which could have resulted in an earlier decision from Lloyds. While Lloyds was entitled to rely on the valuation report, the delay in identifying the property's status caused unnecessary distress to Mr. B and Mrs. L. Therefore, the Ombudsman increased the compensation to £500 to reflect the inconvenience and stress experienced by the complainants."
DRN-4396919,Mr and Mrs C,Lloyds Bank Plc,Banking,Lloyds Bank Plc's refusal to refund money lost in a scam.,Online banking,"Online scam, Payment fraud, Banking negligence","Online payment security, Customer protection, Financial loss",6200.0,,uphold in part,Sophie Mitchell,16 November 2023,Unauthorised payment and request to refund the money lost in a scam.,Lloyds Bank Plc's failure to prevent the fraudulent transaction and protect them from financial harm.,A full refund of the money lost in the scam.,"Mr and Mrs C fell victim to an online scam when trying to purchase a van. They made a payment of £6,200 via PayPal to an overseas bank account, but never received the van. Lloyds Bank Plc declined to refund the money, stating that the payment was not covered under the Contingent Reimbursement Model (CRM Code) and that Mrs C should have done more to protect herself from the scam.","The Ombudsman found that Lloyds Bank Plc could have done more to prevent the fraud by flagging the transaction as suspicious and contacting Mrs C for further verification. However, the Ombudsman also found that Mr and Mrs C should share some responsibility for the loss as there were red flags that should have indicated the potential for a scam. The Ombudsman recommended that Lloyds Bank Plc refund 50% of the payment, which both parties accepted."
DRN-4406346,Mr and Mrs B,Lloyds Bank PLC (Lloyds),Banking,"Lloyds Bank PLC's failure to refund £150,000 lost to an investment scam.",Investment,"Investment scam, Cheque payment, Due diligence","Duty of care, Financial loss, Regulatory compliance",150000.0,,Do not uphold,Charlie Newton,24 November 2023,Investment scam and request for refund,Lloyds Bank PLC's failure to prevent the fraudulent investment and subsequent financial loss.,"Refund of the £150,000 lost in the investment scam.","Mr and Mrs B invested £150,000 in a company called WSCN1 Limited after conducting their own research and consulting a lawyer. The company turned out to be a scam and they lost their investment. They complained to Lloyds Bank PLC, claiming that the bank should have prevented the payment or taken steps to recover the funds.",The Ombudsman concluded that Lloyds Bank PLC was not aware of any red flags or warnings about WSCN1 Limited at the time of the payment and therefore did not have sufficient grounds to suspect fraud. The bank was not under any obligation to refund the payment under the Contingent Reimbursement Model Code as the payment was made before the code came into force and did not apply to cheques.
DRN-4411379,Mr R,Lloyds Bank PLC (Lloyds),Banking,Lloyds Bank's decision not to submit a chargeback claim on his behalf for the repair of his car's air conditioning system.,Lloyds current account debit card,"chargeback, air conditioning, car repair","consumer rights, financial services, banking",431.75,26 April 2023,uphold,Peter Cook,22 November 2023,Lloyds Bank's decision not to submit a chargeback claim on his behalf for the repair of his car's air conditioning system.,"Mr. R felt that Lloyds Bank should have submitted a chargeback claim on his behalf for the repair of his car's air conditioning system, as he was unable to return the car to the garage due to the nature of the fault.",Mr. R wanted Lloyds Bank to submit a chargeback claim on his behalf for the repair of his car's air conditioning system.,"Mr. R purchased a used car on 26 April 2023 and discovered a fault with the air conditioning system on 29 May 2023. He had the fault repaired at a garage on the same day and contacted Lloyds Bank to request assistance in recovering the cost of the repair. Lloyds Bank declined to submit a chargeback claim on Mr. R's behalf, citing the limitation of the Visa chargeback rules. Mr. R complained to the Financial Ombudsman Service, arguing that he was unable to return the car to the garage and that Lloyds Bank should have submitted a chargeback claim on his behalf.","The Ombudsman considered the evidence and arguments presented by both parties and concluded that Lloyds Bank acted fairly and reasonably in not raising a chargeback on Mr. R's behalf. The Ombudsman noted that chargebacks are not decided on the merits of the dispute between the cardholder and merchant, but rather on the relevant card schemes rules. In this case, the guidelines set by VISA did not allow for a chargeback in this situation. The Ombudsman also agreed that Lloyds Bank provided an appropriate sum of £55 to Mr. R for the inconvenience caused by the lack of updates on his request."
DRN-4426668,Mr W,Lloyds Bank Plc (Lloyds),Banking,"Payment to a car dealership was not sent as a faster payment, resulting in him being unable to collect the car he purchased.",Faster payment service,"Faster payment, car purchase, delay","Payment failure, inconvenience, compensation",,,Dont uphold,Thomas White,13 December 2023,Payment delay for car purchase,Financial loss and inconvenience due to delayed payment,"Additional compensation for distress, inconvenience, and financial loss","Mr. W made a faster payment to a car dealership through Lloyds Bank but the payment was delayed due to a system error. Despite Lloyds' initial rejection, they later upheld the complaint and offered compensation.","The Ombudsman considered the compensation offered by Lloyds to be fair and reasonable, taking into account the circumstances and the inconvenience caused to Mr. W. While acknowledging Mr. W's distress and additional challenges, the Ombudsman did not find Lloyds responsible for the decision to sell the car or the loss incurred from the sale."
DRN-4428030,Mr and Mrs G,Lloyds Bank PLC,Banking,"Incorrect advice provided by Lloyds Bank PLC when applying for a new mortgage, leading to financial losses.",Mortgage,"Incorrect advice, Financial loss, Mortgage application","Mortgage advice, Financial impact, Dispute resolution",,,Not upheld,Thomas Brissenden,11 December 2023,"Incorrect mortgage advice provided by Lloyds Bank PLC, leading to financial losses for Mr and Mrs G.","Mr and Mrs G felt that Lloyds Bank PLC's incorrect advice caused them to purchase a property they would not have otherwise been able to afford, resulting in financial difficulties.","Mr and Mrs G sought compensation for the financial losses incurred due to the incorrect advice, including the shortfall in the purchase price and the additional debts they had to take on.","Lloyds Bank PLC provided incorrect information to Mr and Mrs G about the mortgage porting process, leading them to believe they had a larger deposit than they actually did. This resulted in a significant shortfall on the day of completion, causing distress and financial difficulties for Mr and Mrs G.","The Ombudsman acknowledged Lloyds Bank PLC's error and the distress caused to Mr and Mrs G. However, the Ombudsman considered that Lloyds Bank PLC's offer to rectify the situation, including compensation for distress and inconvenience, covering additional moving costs, and providing an interest-free loan, was fair and reasonable. The Ombudsman also highlighted that the shortfall in the purchase price could have been identified earlier by Mr and Mrs G's solicitor during the conveyancing process."
DRN-4436132,S,Lloyds,Banking,"Lloyds' failure to recover an erroneous payment of £5,000 made to a wrong account due to a typing error.",Business bank account and online banking facility,"Payment error, Recovery failure, Misleading information","Account switching process, Confirmation of Payee, Best endeavours basis",5000.0,24 April 2023,I dont uphold S complaint,Marco Manente,21 December 2023,Incorrect payment and failure to recover funds,Lloyds' misleading information about the possibility of recovering the funds and its refusal to refund the lost amount.,"Refund of the £5,000 payment and an apology for the inconvenience caused.","S experienced issues during an account switching process with Lloyds, leading to a typing error in a payment instruction. Despite Lloyds' Confirmation of Payee check returning an error message, Mr. S approved the payment, which was processed. Lloyds initially advised that the funds would be recovered within 21 days but later confirmed that it was unable to reclaim the funds. S complained about Lloyds' handling of the situation, including misleading information provided by its agents.","The Ombudsman acknowledged that Lloyds provided incorrect information regarding the recovery of funds but considered that reasonable attempts were made to recover the payment. The Ombudsman also noted that the payment was made in line with Mr. S's instructions and that Lloyds' Confirmation of Payee process had returned an error message. While expressing sympathy for Mr. S's situation, the Ombudsman concluded that Lloyds did not make a mistake or act unfairly in processing the payment. The apology provided by Lloyds in its final response was deemed reasonable under the circumstances."
DRN-4452884,Mr S,Lloyds Bank PLC,Banking,Lloyds Bank PLC has not fully reimbursed him for a series of transactions he lost to scams.,Cryptocurrency investment,"scam, cryptocurrency, investment","unauthorized transactions, duty of care, reasonable steps",,October 2022,do not uphold,Rebecca Norris,29 December 2023,unauthorized transactions,He felt that Lloyds Bank PLC should have done more to protect his account from financial harm and that they should have intervened and spoken with him prior to processing the suspicious payments.,"A full refund of the payments he lost to the scams, as well as compensation for the distress and inconvenience caused.","Mr. S was scammed into making a series of payments to cryptocurrency platforms, which he believed were legitimate investments. Lloyds Bank PLC did not intervene to stop the payments, even though they were suspicious. Mr. S complained to Lloyds Bank PLC, who offered him a partial refund of the payments, which he rejected.","The Ombudsman found that Lloyds Bank PLC should have intervened to stop the payments from the point at which a pattern of suspicious activity emerged. However, the Ombudsman also found that Mr. S should bear some responsibility for his loss, as he did not do enough due diligence before making the payments. The Ombudsman therefore agreed with Lloyds Bank PLC's offer of a partial refund."
DRN-4470225,Mr G,Lloyds Bank PLC,Banking,"Unfairly closed account, withheld funds, mishandled international payment, financial problems",Business current account,"Account closure, Fraudulent payments, Delayed payments","Account handling, Payment handling, Communication issues",,,Do not uphold,Sharon Kerrison,10 January 2024,"Unfair treatment by the bank, including account closure, withholding of funds, and mishandling of international payments.",Financial problems and inconvenience caused by the bank's actions.,"Compensation, reopening of the account, and return of withheld funds.","Mr. G complained about Lloyds Bank PLC for unfairly closing his account, mishandling an international payment, and withholding funds. Lloyds investigated and found fraudulent payments into Mr. G's account, leading to account restrictions and the return of the fraudulent funds. Mr. G disputed the fraud accusations and felt the bank acted unfairly. The Ombudsman reviewed the case and concluded that Lloyds' actions were reasonable and in line with their legal and regulatory obligations.","The Ombudsman considered the evidence and determined that Lloyds Bank PLC acted within their rights and fulfilled their legal and regulatory obligations in blocking, reviewing, and closing Mr. G's account. The Ombudsman also found no evidence of unreasonable delays or mishandling of the international payments. Therefore, the complaint was not upheld."
DRN-4480857,Mr A,Lloyds Bank PLC,Banking,Lloyds Bank PLC's failure to protect him from losing money to a scam.,Debit card,"scam, fraud, payment","unauthorized payment, liability for fraudulent transactions, chargeback",500.0,January 2023,not uphold,Neil Bridge,9 January 2024,unauthorized payment and failure to recover funds lost to a scam,The complainant argues that the bank should have prevented the payment or helped recover the funds after the payment was made.,Reimbursement of the lost funds.,"The complainant made a payment of £500 using his Lloyds debit card to what he thought was a legitimate investment, but it turned out to be a scam. Lloyds did not reimburse the lost funds, prompting the complaint.","The Ombudsman considered that the complainant authorized the payment and that Lloyds generally processes payments authorized by customers. While Lloyds should take proactive steps to identify and prevent fraudulent transactions, it is not reasonable to expect a bank to stop and check every payment instruction. In this case, the Ombudsman found that Lloyds did not unreasonably miss an opportunity to prevent the payment or recover it through the chargeback scheme. Therefore, the complaint was not upheld."
DRN-4492113,Mr A,Lloyds Bank PLC,Banking,Lloyds Bank PLC's refusal to refund money lost to a scam.,Current account,"authorised push payment scam, reimbursement, reasonable basis for belief","liability for authorised push payment scams, customer vulnerability, bank's obligations under the CRM code",1997.0,December 2022,opposite,Alan Millward,4 January 2024,Unauthorised payment,"The bank did not refund the money he lost to a scam, despite the bank's obligations under the Contingent Reimbursement Model (CRM) code.",A full refund of the money lost to the scam.,"Mr A made a payment of £1,997 from his Lloyds account to a personal account after receiving a phone call from someone claiming to be from HMRC. He was told that he had not paid the correct amount of tax and that he would face legal consequences if he did not pay immediately. After realising that he had been scammed, Mr A reported the incident to Lloyds and requested a refund, but Lloyds refused, stating that he could have done more to protect himself from the scam.","The Ombudsman found that Mr A did not have a reasonable basis for belief when making the payment, as there were several red flags that should have caused him concern. Therefore, Lloyds was not required to refund the money under the CRM code. The Ombudsman also found that Lloyds did not fail to meet its obligations under the CRM code by not providing an effective warning or intervening in the payment, as the payment did not present a particularly high risk of fraud. Finally, the Ombudsman considered that Lloyds had taken reasonable steps to recover the money but was unsuccessful."
DRN-4496783,Miss S,Lloyds Bank PLC,Banking,Unauthorised release of safe deposit box and its contents to her ex-husband.,Safe deposit box,"Safe deposit box, Unauthorised release, Customer service","Release of safe deposit box without consent, Poor customer service, Ongoing investigation and recovery process",,November 2022,uphold,Ray Lawley,3 January 2024,Release of safe deposit box without consent and poor customer service,Miss S complained that Lloyds Bank PLC released her safe deposit box and the contents to her ex-husband without her consent.,Compensation for the distress caused and inconvenience faced due to the mishandling of her safe deposit box.,"Miss S had been trying to retrieve her safe deposit box from Lloyds Bank since November 2022. Despite her repeated inquiries, the bank failed to provide her with any information about the box until February 2023, when she was informed that it had been released to her ex-husband without her consent. She was also not kept updated about the progress of the bank's investigation into the matter.","The Ombudsman considered that Lloyds Bank had provided poor customer service to Miss S by failing to promptly admit the box was missing, failing to provide her with indicative timelines for the investigation, and failing to keep her updated on the progress of the investigation. However, the Ombudsman considered that it was not yet possible to assess the full impact of the unauthorised release of the box on Miss S, and therefore declined to award compensation for that aspect of the complaint at that stage."
