Case number,Complainant,Defendant,Defendant's industry,What was the complainant complaining about,What product involved in the complaint,Three key words on this complaint,Three key topics on this complaint,Claimed value in pounds,When did it happen? (date only),Final decision (uphold or opposite),Ombudsman's name,Decision deadline,what was the complaint relating to,what was the main reason that the complainant gave for them complaining,What did the complaint want,Summary of what happened,Summary of the Ombudsman's reasoning,Company
DRN-4379902,Mrs W,Lloyds Bank General Insurance Limited (Lloyds),Insurance,"Delays in processing her home insurance claim, mishandling of the claim, lack of support in finding alternative accommodation, and the overall poor service provided by Lloyds following the flooding of her home.",Home insurance policy,"Delay, mishandling, distress","Claims handling, alternative accommodation, communication",,December 2022,uphold,Claire Jones,31 October 2023,Home insurance claim,"Unfair and unreasonable handling of her insurance claim and subsequent complaint, resulting in significant distress and inconvenience.","Settlement of the claim, compensation for delays and service issues, and an apology from Lloyds.","Mrs. W's home was severely flooded in December 2022, causing extensive damage. She filed a claim with Lloyds, her insurer, but experienced delays in the claims process and dissatisfaction with the handling of her complaint. Despite acknowledging some service issues, Lloyds's initial compensation offer was deemed insufficient by Mrs. W, leading her to escalate the complaint to the Ombudsman.","The Ombudsman found that Lloyds's handling of Mrs. W's claim and complaint was poor, causing unnecessary distress and inconvenience. The delays in processing the claim, particularly in arranging alternative accommodation, were deemed unreasonable. While Lloyds eventually acknowledged some failings and increased the compensation offer, the Ombudsman considered it inadequate. Therefore, the Ombudsman decided to uphold Mrs. W's complaint and recommended a higher compensation amount.",Lloyds Bank General Insurance Limited
DRN-4381961,Mr and Mrs M,Admiral Insurance (Gibraltar) Limited,Insurance,Declined travel insurance claim for cancellation of cruise holiday due to medical emergency,Travel insurance policy,"cruise, cancellation, exclusion","insurance claim denial, policy terms and conditions, compensation for delay",,,dont uphold,David Curtis-Johnson,5 December 2023,Travel insurance,Admiral declined their claim for cancellation of their holiday because they hadn't bought optional cruise cover.,The complainants wanted Admiral to pay their claim for the cancellation of their cruise holiday.,"Mr and Mrs M had a yearly travel insurance policy with Admiral that didn't cover cruises. They went on a cruise and Mr M was diagnosed with cancer, requiring urgent treatment. They canceled the cruise and claimed on their insurance, but Admiral declined the claim because they hadn't bought optional cruise cover. Mr and Mrs M complained to Admiral and then to the Financial Ombudsman Service.",The Ombudsman found that Admiral was entitled to rely on the cruise exclusion in the policy and that the policy terms and conditions were clear that optional cruise cover was required for any part of a trip that included a cruise. The Ombudsman also found that the £30 compensation paid by Admiral for delays was fair and reasonable.,Admiral Insurance (Gibraltar) Limited
DRN-4382536,Mr I,Fairmead Insurance Limited,Insurance,The way his legal expenses insurance claim was handled after he made a claim on his policy.,Legal expenses insurance policy,"Legal expenses insurance, claim handling, prospects of success","Claim assessment, Communication, Legal representation",2700,,uphold,James Park,7 November 2023,Fairmead's decision to withdraw cover for his claim and its handling of his complaint,"Fairmead's failure to provide adequate advice and support, and its unreasonable withdrawal of cover for his claim.","Reimbursement of costs incurred, compensation for distress and inconvenience, and an apology from Fairmead.","Mr I made a claim on his legal expenses insurance policy after he wanted to pursue an employment claim. Fairmead, the insurer, referred the matter to panel solicitors to assess the prospects of success. The panel firm concluded that the claim did not have reasonable prospects of success and Fairmead issued a final response to the complaint in September 2022, stating that cover would be withdrawn unless Mr I removed the elements that were assessed as not having reasonable prospects of success. Mr I obtained a barrister's opinion which concluded that an element of his claim (relating to disability discrimination) did have reasonable prospects of success. Fairmead agreed to seek a further opinion on prospects in January and provided funding to protect Mr I's position while that was done. However, the further opinion was also unsupportive and cover was withdrawn. Mr I complained to the Financial Ombudsman Service, arguing that Fairmead should have offered to fund the elements of his claim that had been assessed as having reasonable prospects of success and that he had incurred unnecessary costs as a result of Fairmead's actions.","The Ombudsman found that Fairmead should have obtained a further counsel's opinion on the parts of Mr I's claim that had previously been assessed as having reasonable prospects of success before withdrawing cover for the entire claim. The Ombudsman also found that Fairmead was responsible for a proportion of the costs Mr I incurred in obtaining advice and representation after cover was withdrawn, as these costs were incurred as a result of Fairmead's failure to obtain a further counsel's opinion. However, the Ombudsman did not uphold Mr I's complaint in relation to the April 2023 hearing or the funding of his ongoing claim, as these matters were outside the scope of the complaint.",Fairmead Insurance Limited
DRN-4382593,Mr and Mrs J,Barclays Bank UK PLC,Banking,Barclays Bank UK PLC removed money from their account unfairly.,Bank account,"fraud, funds, account","unauthorized funds removal, compensation, data protection",7158,early 2023,uphold,Stephen Westlake,29 December 2023,Barclays Bank UK PLC removed money from their account unfairly.,They felt that Barclays had no right to return the funds and that its actions caused further detriment to them by legitimising the sender's claim and subsequently causing harm to their reputation.,They wanted Barclays to reimburse the funds and pay compensation for the distress and inconvenience caused.,"Barclays received a fraud report from a third-party bank claiming that funds held in Mrs J's account were obtained by fraud. Barclays froze the account to investigate and provided Mrs J with an opportunity to submit evidence of entitlement to the funds. Mrs J provided documentation to support her claim, but Barclays decided to return the remaining funds in the account to the third-party bank. Mrs J complained to the Financial Ombudsman Service.","The Ombudsman agreed that Barclays was not entitled to return the funds to the sender and that the error caused Mrs J distress and inconvenience. However, the Ombudsman did not find that Barclays should be held accountable for the distress caused to Mrs J by the third-party's actions, such as the online bullying campaign. The Ombudsman considered £250 to be an appropriate award of compensation for the distress and inconvenience caused by Barclays' error.",Barclays Bank UK PLC
DRN-4383816,Mr M,Santander UK Plc,Banking,"Santander's failure to prevent him from making a payment to an investment scheme which he now believes was fraudulent, resulting in the loss of his money.",Fixed term bond (or loan note) in a property development company (referred to as P),"Authorised Push Payment Scam (APP scam), Investment fraud, Financial loss","Payment safety, Customer due diligence, Liability for fraudulent payments",50000,October 2017,Do not uphold,Stephen Dickie,22 December 2023,Santander's alleged failure to protect him from a fraudulent investment scheme and its refusal to refund the money he lost.,Santander should have questioned him about the payment and identified red flags that would have prevented the investment.,Refund of the money lost in the investment.,"Mr. M made a single payment of £50,000 to an investment scheme through a Faster Payments transfer from his Santander account. He later realized that the investment company was fraudulent and lost a significant amount of money. He reported the incident to Santander as a potential scam and requested a refund, but the bank denied liability.","The Ombudsman considered that Santander was not liable for Mr. M's losses as the payment did not stand out from his usual transactions and there was no indication of fraud at the time of the payment. Even if Santander had questioned Mr. M further, it is unlikely that the payment would have been prevented due to the lack of publicly available information about the investment scheme's legitimacy at that time.",Santander UK Plc
DRN-4383835,Mrs E,U K Insurance Limited trading as Direct Line (UKI),Pet insurance,Unfairly declined claims on her pet insurance policy and mis-sold her the policy.,Pet insurance policy,"Pet insurance, declined claims, mis-selling","Claim declinature, pre-existing conditions, misrepresentation",,March 2019,Do not uphold,Elizabeth Grant,21 November 2023,Declined insurance claims and alleged mis-selling of pet insurance policy.,"UKI declined her claims for her cat's urinary tract infection and dog's skin allergies, and she believed the policy was mis-sold to her as she was allegedly told that skin allergies were covered.",Mrs E wanted UKI to pay for the declined claims and provide compensation for the mis-selling of the policy.,"Mrs E took out a pet insurance policy with UKI in March 2019 for her cat and dog. She made two claims: one for her cat's urinary tract infection and another for her dog's skin allergies. UKI declined both claims, stating that the cat's condition was related to a pre-existing condition and that the dog's condition was a pre-existing condition that was not covered by the policy. Mrs E disputed the decisions and brought a complaint to the Financial Ombudsman Service.",The Ombudsman considered the policy terms and conditions and the evidence provided by Mrs E and UKI. They found that UKI was entitled to decline the claim for the cat's urinary tract infection as it was related to a pre-existing condition. They also found that UKI was entitled to decline the claim for the dog's skin allergies as it was a pre-existing condition that was not covered by the policy. The Ombudsman did not find any evidence to support Mrs E's claim that she was mis-sold the policy.,U K Insurance Limited
DRN-4384016,C,Markel International Insurance Company Limited,Insurance,Declined legal expenses insurance claim for a contract dispute,"Commercial insurance policy, including legal expenses cover","Contract dispute, legal expenses insurance, judicial review","Contract interpretation, policy coverage, delay in claim handling",,13 December 2022,Do not uphold,Sam Thomas,20 December 2023,Contract dispute over a tender for early learning and childcare services,Policy should cover the costs of making an appeal against the council's decision on the tender,Uphold the complaint and pay compensation for the inconvenience caused,"C, a childcare business, submitted a tender to the council for early learning and childcare services. The tender was unsuccessful, and C contacted Markel to make a contract dispute claim under its policy to cover the costs of appealing the council's decision. Markel declined the claim, stating that the policy did not cover a claim where the issue related to a dispute before a contract had been entered. C complained about this decision and the delay in it being made.","The Ombudsman considered the policy wording and found that the dispute did not arise directly from the existing contract between C and the council. The dispute was instead around the application for a potential future contract, which was not in existence at the time of the claim. Therefore, the Ombudsman considered that Markel acted fairly and reasonably in declining C's claim.",Markel International Insurance Company Limited
DRN-4384649,Mr and Mrs T,Nationwide Building Society,Financial services,Nationwide Building Society blocked their account after they refused to give it any more details about a payment they wanted to make.,Current account,"Account block, Refusal to provide information, Financial regulations","Account freezing, Customer due diligence, Regulatory obligations",,6 June 2023,Not upheld,Ketan Nagla,10 January 2024,Blocking of their account and refusal to provide information about a large transaction.,They felt that Nationwide was intrusive in asking for details about the transaction and that blocking their account was unnecessary and caused them inconvenience.,They wanted Nationwide to unblock their account and provide an explanation for their actions.,"Mr and Mrs T sent a large sum of money into their Nationwide account and were asked about the purpose of the transaction. They refused to provide any details beyond saying it was for a bill. Nationwide blocked their account due to concerns about potential fraud or financial harm. Mr and Mrs T complained, arguing that Nationwide's actions were intrusive and unnecessary.",The Ombudsman found that Nationwide was justified in asking for information about the transaction and blocking the account due to regulatory obligations and the need to protect customers from financial harm. The Ombudsman also noted that Mr and Mrs T were given a fair opportunity to provide the information and that they had access to other funds during the time their account was blocked.,Nationwide Building Society
DRN-4385927,Miss E,Santander UK Plc,Banking,Santander failed to credit her account with \u00a3190 after a failed attempt to deposit \u00a3800 in cash in an ATM.,ATM deposit,"ATM deposit, discrepancy, refund","ATM malfunction, conflicting testimonies, technical evidence",190,26 April 2023,opposite,Anna Jackson,15 November 2023,ATM deposit failure and discrepancy in the amount credited to her account.,She believed that \u00a3200 was taken from the ATM by a staff member and not credited to her account.,Refund of the disputed \u00a3190.,"Miss E attempted to deposit \u00a3800 in cash at an ATM, but the transaction failed and she was only able to retrieve \u00a3600. She reported the issue to a staff member who retrieved \u00a3200 and a torn \u00a310 note from the ATM. However, only \u00a310 was credited to her account, and she sought the return of the remaining \u00a3190.","The Ombudsman considered the available evidence, including technical reports, CCTV footage (not available for review), and testimonies from Miss E and branch staff. The technical evidence showed that the ATM counted \u00a3470 (\u00a3390 in \u00a310 notes and \u00a380 in \u00a320 notes) during Miss E's attempted deposit, contradicting her claim of depositing \u00a3800. The ATM balanced on the day of the incident and the days following, and there was no evidence of a \u00a3190 discrepancy. The Ombudsman concluded that it would not be fair and reasonable to ask Santander to refund the disputed amount as the evidence did not support Miss E's claim.",Santander UK Plc
DRN-4386568,Mr M,Barclays Bank UK PLC,Banking,Hard credit search carried out without prior notice affecting credit score,New account,"hard credit search, credit score, new account","credit check, credit reporting, customer communication",,,not uphold,Jane Archer,15 November 2023,Hard credit search,Not being informed about the hard credit search and the subsequent drop in his credit score,Compensation and removal of the hard credit search from his credit report,Mr. M opened a new account with Barclays and was not informed that a hard credit search would be conducted. He later discovered that his credit score had dropped significantly and believed it was due to the hard credit search. Barclays stated that it is standard practice to conduct a credit check when opening a new account and that Mr. M should have been informed about it during the application process.,"The Ombudsman acknowledged Mr. M's distress but found no evidence of wrongdoing or unfair treatment by Barclays. The credit search was conducted in line with industry standards, and the account terms and conditions clearly stated that information would be shared with credit reference agencies. While Barclays could not determine the impact of the credit search on Mr. M's credit score, it accurately reported the information, and the Ombudsman could not require its removal from his credit report.",Barclays Bank UK PLC
DRN-4386735,Mr F,Nationwide Building Society,Financial services,Unfairly lodging a marker against him with a fraud prevention agency and closing his account,Bank account,"Fraud, CIFAS marker, Account closure","CIFAS marker, Account closure, Financial loss",,,Do not uphold,David Perry,29 December 2023,CIFAS marker and account closure,He was an innocent victim of a loan scam and that Nationwide should not have reported him to CIFAS.,Removal of the CIFAS marker and compensation for the inconvenience caused.,"Mr. F opened an account with Nationwide in November 2019. In December 2019, he received several payments into his account that were later identified as fraudulent. Nationwide reviewed the account and closed it, and also reported Mr. F to CIFAS, a fraud prevention agency. Mr. F complained to Nationwide and the Financial Ombudsman Service, arguing that he was an innocent victim of a scam and that Nationwide should not have reported him to CIFAS.","The Ombudsman found that there was evidence to suggest that Mr. F was involved in the fraudulent activity, including the fact that he purchased vouchers with the scammed funds and that he had a history of financial difficulties. The Ombudsman also found that Nationwide was justified in closing Mr. F's account and reporting him to CIFAS, and that the £100 payment offered by Nationwide was an appropriate way to address the inconvenience caused by the delayed communication about the account closure.",Nationwide Building Society
DRN-4387871,Mr G,HSBC UK Bank Plc,Banking,Service provided around his credit card and a default registered against him.,Credit card,"credit card, default, payment plan","credit card default, communication with customer, compensation",,,I dont uphold this complaint.,John Quinlan,12 December 2023,The service provided by HSBC UK Bank Plc around his credit card and a default registered against him.,Mr G felt that he had six months to make a payment and that he was given the impression nothing would happen in the intervening period.,Mr G wanted the default notice to be removed and compensation for the inconvenience caused.,Mr G got into difficulty making payments on his credit card. HSBC suspended the card and started the process towards default and updating Credit Reference Agencies. Mr G complained to the Financial Ombudsman Service.,"The Ombudsman considered the evidence and arguments and found that HSBC did not act unreasonably or unfairly when it issued the default. However, HSBC was not as clear as it could have been about the details in a telephone discussion with Mr G. Therefore, HSBC offered to pay Mr G £100 as compensation for any distress and inconvenience caused.",HSBC UK Bank Plc
DRN-4389213,Mrs S,Accredited Insurance (Europe) Ltd,Insurance,The handling of her claim for water damage under her home insurance policy.,Home insurance policy,"['Water damage', 'Settlement offer', 'Delays']","['Claim handling', 'Communication', 'Compensation']",7750,December 2022,uphold,Claire Jones,17 November 2023,handling of her claim for water damage under her home insurance policy,Accredited's handling of her claim and the inadequacy of the cash settlement offered.,Full amount she was quoted for the works.,"Burst water pipe caused significant water damage to Mrs. S's property. Accredited accepted the claim and offered a cash settlement, which Mrs. S considered inadequate. She complained about the handling of her claim and the service received.","The cash settlement offered by Accredited was fair and reasonable, but there were avoidable delays and inadequate communication in the claim process. Accredited should pay £250 compensation to Mrs. S for the distress and inconvenience caused.",Accredited Insurance (Europe) Ltd
DRN-4390041,V,National Westminster Bank Plc (NatWest),Banking,Strict policy on returning documents for opening a business bank account,Business bank account,"Application process, Deadline, Communication","Document submission deadline, Lack of flexibility, Inconvenience",,,Dont uphold,Gemma Bowen,7 November 2023,Opening a business bank account,Unfair three-hour deadline to submit documents for account application,Apology and compensation for inconvenience,"V applied for a business bank account with NatWest but failed to submit the required documents within the specified timeframe due to a strict policy. Despite subsequent attempts, the application faced delays. V complained about the short notice given to submit documents and the need to restart the application process.",The Ombudsman considered the evidence and determined that NatWest had clearly communicated the deadline for submitting documents. The three-hour notice was sent as a reminder shortly before the deadline expired. The Ombudsman found no fault in NatWest's actions and concluded that V was responsible for the delays in the application process.,National Westminster Bank Plc
DRN-4391743,Mr H,Ageas Insurance Limited,Insurance,Mishandling of a claim on his motorcycle insurance policy,Motorcycle insurance policy,"motorcycle, insurance, claim","liability, service, communication",,mid-May 2020,uphold in part,Christopher Gilbert,30 November 2023,Ageas settled the third party's claim without telling him.,Ageas failed to communicate with him about the settlement of the third party's claim.,Compensation for distress and inconvenience,Mr. H had a motorcycle accident and submitted a claim to Ageas. Ageas settled the third party's claim without informing Mr. H. Mr. H complained to Ageas and the Financial Ombudsman Service.,"The Ombudsman found that Ageas should have informed Mr. H about the settlement of the third party's claim. However, the Ombudsman also found that Ageas made a reasonable decision to settle the claim based on the information available at the time.",Ageas Insurance Limited
DRN-4392048,Mr C,Santander UK Plc,Financial services,Early repayment charge (ERC) incurred when he repaid his buy to let (BTL) mortgage.,Buy to let (BTL) mortgage,"Early repayment charge, Buy to let mortgage, Financial exploitation","ERC, BTL mortgage, Financial fairness",5400,,Dont uphold,Julia Meadows,21 December 2023,The early repayment charge (ERC) he incurred when he repaid his buy to let (BTL) mortgage with Santander UK Plc.,He said the amount charged is financial exploitation and profiteering at its dirtiest and flies in the face of the regulators guidance.,Mr C wanted the ERC to be waived or reduced.,"Mr C had an existing BTL mortgage with Santander. In 2021, he applied online to move it onto a new preferential interest rate. The mortgage offer indicated an outstanding balance of around £221,000, a term of 16 years and 6 months, and the mortgage was held on an interest-only basis. The rate was fixed at 1.69% until 2 November 2023, with an ERC being due if the mortgage was repaid before that date. In 2022, Mr C complained to Santander about the ERC, but Santander did not uphold the complaint. Mr C then referred the matter to the Financial Ombudsman Service. In the meantime, Mr C made lump sum payments of around £22,100 in December 2022 and £19,900 in January 2023, and then he redeemed the remaining mortgage of around £179,000 when he sold the property for £465,000 in January 2023 incurring an ERC of around £5,400.","The Ombudsman considered all the available evidence and arguments to decide what's fair and reasonable in the circumstances of this complaint. The Ombudsman noted that the ERC was set out in the mortgage offer in a way that should have been readily understandable to Mr C and that Santander was entitled to set an ERC based not on the actual cost to it of Mr C ending his own mortgage early, but on a reasonable pre-estimate of the costs of early termination of a group of mortgages of similar type. The Ombudsman also noted that Santander had provided evidence to show how it pre-estimated the costs of this group of mortgages being repaid early and that the ERC reflects its costs of setting up and servicing the mortgage, the cost of the capital it has to set aside, the cost of funding the fixed rate, the cost of financial instruments that could be used to protect its position (and unwinding those) and its future losses. The Ombudsman considered that this was a fair way to calculate the ERC and that it was reasonable for Santander to charge the ERC it did.",Santander UK Plc
DRN-4393098,Mr W,Admiral Insurance (Gilbraltar) Limited (Admiral),Insurance,The way Admiral handled his claim for damage to his property caused by a water leak and the deduction of two excesses from the claim payment.,Buildings insurance policy,"Water leak, cash settlement, redecoration costs","Delay in claim settlement, dispute over settlement amount, confusion over what was included in the settlement",,December 2022,uphold,Carolyn Harwood,10 November 2023,Buildings insurance,"Admiral's handling of his claim, including the delay in settlement, the deduction of two excesses, and the confusion over what was included in the settlement.","Fair settlement of his claim, including reimbursement for redecoration costs and compensation for distress and inconvenience.","Mr. W made a claim under his buildings insurance policy for damage caused by a water leak. Admiral initially offered a cash settlement, but Mr. W disputed the amount as it did not include the cost of redecorating the affected area. Admiral maintained that the redecoration costs were included, but Mr. W was not convinced. The Ombudsman found in favor of Mr. W and required Admiral to pay for the redecoration costs and additional compensation for distress and inconvenience.",The Ombudsman found that Admiral failed to provide sufficient evidence to show that the redecoration costs were included in the settlement offer. The Ombudsman also considered the confusion and distress caused to Mr. W due to Admiral's handling of the claim and awarded additional compensation for the distress and inconvenience suffered.,Admiral Insurance (Gibraltar) Limited
DRN-4393667,"Mrs G and Mrs H, on behalf of the estate of the late Mr S",Santander UK Plc,Banking,Santander UK Plc's refusal to refund unauthorised transactions from Mr S's account.,Current account,"unauthorised transactions, deceased customer, liability","Unauthorised transactions, Liability for unauthorised transactions, Redress for unauthorised transactions",4000,2022,uphold,Adam Charles,14 November 2023,Unauthorised withdrawals from a deceased customer's account,"Santander held Mr S's estate liable for the payments in dispute, despite the fact that he had passed away and there was no evidence that he had authorised the transactions.",A refund of the unauthorised withdrawals and compensation for the distress caused.,"Following Mr S's death, cash withdrawals were made from his Santander account over the course of about two months, until the account was drained. The total withdrawn was around £4,000. Santander held Mr S's estate liable for the payments in dispute, saying that the genuine card and PIN had been used.","The Ombudsman found that Santander had not provided sufficient evidence to show that the genuine card and correct PIN were actually used for the unauthorised withdrawals. Therefore, Santander was required to refund the withdrawals under the Payment Services Regulations.",Santander UK Plc
DRN-4393911,V,HSBC UK Bank Plc,Banking,HSBC closed its account after sending letters to the wrong address.,Business bank account,"Account closure, communication failure, financial loss","Account management, customer service, compensation",,June 2023,uphold,Michael Crewe,21 November 2023,Account closure,"HSBC's mistake in sending letters to the wrong address, resulting in account restriction and inconvenience.","Fair compensation for the inconvenience and distress caused, and an assurance that such issues won't occur in the future.","HSBC sent letters and requests for information to V's business address, which was not the correspondence address set by V. V was unable to access its funds during the account restriction period. HSBC offered £150 in compensation, which V considered insufficient.","The Ombudsman acknowledged that HSBC needed to conduct a safeguard review and that V failed to respond to the letters sent to the registered business address. However, the Ombudsman also recognized HSBC's mistake in not updating the correspondence address and the inconvenience caused to V. The £500 compensation offered by HSBC was deemed fair and reasonable to address the distress and financial impact experienced by V.",HSBC UK Bank Plc
DRN-4396018,Mr T,Marshmallow Insurance Limited,Insurance,Poor service received when making a claim on his motor insurance policy.,Motor insurance policy,"Compensation, loss of use, poor service","Delay in claim handling, inadequate compensation, poor communication",,,uphold,Lindsey Woloski,29 January 2024,Motor insurance claim handling,"Very poor service, delays, and inadequate compensation",Fair compensation for the poor service and loss of use of his car,"Mr. T made a claim under his motor insurance policy when the catalytic converter was stolen from his car. He complained about the poor service he received, and Marshmallow accepted it fell short of its usual standards. The complaint was upheld by the investigator, who recommended compensation of £375 and £450 for loss of use. Marshmallow made an alternative offer, which was rejected by Mr. T.","The Ombudsman agreed with the investigator's conclusions. Marshmallow accepted that it did not handle the claim as well as it should have and offered compensation. The Ombudsman found the compensation of £375 to be fair and reasonable. Regarding the loss of use payment, the Ombudsman disagreed with Marshmallow's calculation and found that 45 days of loss of use (from the date the hire car was offered but not provided to the date the car was assessed as a total loss) was fair and reasonable, amounting to £450.",Marshmallow Insurance Limited
DRN-4398789,Mr H,Advantage Company Limited (Advantage),Insurance,Cancellation of car insurance policy due to failure to send data from telematics device and app,Car insurance policy with telematics device and app,"Telematics device, app, cancellation","Policy terms and conditions, customer service, fairness",230,5 April 2023,Dont uphold,Richard Sowden,2 January 2024,Cancellation of car insurance policy,Additional premium cost and poor customer service,Reimbursement of additional premium and £100 compensation,"Mr. H's car insurance policy with Advantage required the use of a telematics device and app to collect driving data. Despite receiving the device, Mr. H failed to properly set it up and send data to Advantage. As a result, Advantage cancelled his policy, leading to additional costs for Mr. H.","The Ombudsman considered the policy terms and conditions, which clearly stated the requirement to use the black box device and app. Since Mr. H failed to comply with these terms, Advantage was within its rights to cancel the policy. While expressing sympathy for Mr. H's health issues, the Ombudsman found no evidence of unfairness on Advantage's part.",Advantage Insurance Company Limited
DRN-4404874,Mr K,Lloyds Bank PLC,Banking,"Unauthorised transactions totalling over £30,000 made from his savings account to a social media platform called T.",Savings account and current account,"Unauthorised transactions, Fraud, Online banking","Security, Authentication, Liability",30000,,Do not uphold,Sharon Kerrison,1 January 2024,Unauthorised transactions and Lloyds' refusal to refund the disputed amount,Mr. K believes that someone else managed to obtain his account information and make the unauthorised transactions.,Refund of the disputed transactions and an acknowledgement that he was a victim of fraud.,"Mr. K noticed unauthorised transactions from his savings account to a social media platform called T. He reported the issue to Lloyds, but the bank declined to refund the disputed amount stating that the transactions were authenticated and appeared to be authorised by Mr. K. Mr. K maintained that he did not make the transactions and filed a complaint with the Financial Ombudsman Service.","The Ombudsman considered the technical evidence provided by Lloyds and concluded that it was likely that Mr. K authorised the disputed transactions. The Ombudsman noted that the transfers were made from Mr. K's registered mobile device, using his usual internet connection, and with his security details. The Ombudsman also found it unlikely that an unknown third party would have been able to obtain all of Mr. K's security information and carry out the transactions without his knowledge or consent.",Lloyds Bank PLC
DRN-4406699,Mrs F,Nationwide Building Society,Financial services,Nationwide approved and then unfairly declined her application for a consolidation loan after the contract was signed by both parties.,Consolidation loan,"Loan approval, affordability, credit checks","Contractual obligations, affordability assessments, fairness in lending practices",10000,,not upheld,Andrew Fraser,6 December 2023,Nationwide's rejection of her loan application after the loan agreement was signed.,She believes Nationwide breached the contract and acted unfairly by not paying the loan amount after the loan agreement was signed.,She wanted Nationwide to honor the loan agreement and pay the loan amount.,"Mrs. F applied for a \u00a310,000 consolidation loan from Nationwide Building Society. Nationwide initially approved her application but later declined it due to affordability concerns and over-indebtedness. Mrs. F argued that Nationwide breached the contract and the Financial Conduct Authority's (FCA) rules by rejecting the loan after the contract was signed. She also claimed that Nationwide failed to conduct a proper affordability assessment.","The Ombudsman considered the terms and conditions of the loan agreement, the FCA rules, and Nationwide's lending criteria. He concluded that Nationwide acted within its rights to reject the loan application based on affordability concerns. He also found that Nationwide followed the required procedures and provided sufficient information to Mrs. F about the conditional nature of the loan approval.",Nationwide Building Society
DRN-4408240,Mr S,Barclays Bank UK PLC trading as Barclaycard,Banking,Barclays Bank UK PLC trading as Barclaycard hasnt protected him from losing money to a scam.,Barclays credit card,"scam, payments, cryptocurrency","prevention of fraudulent payments, recovery of lost funds, liability for authorised payments",4119.6,June 2021,not uphold,Neil Bridge,8 January 2024,losing money to a scam,Barclays Bank UK PLC trading as Barclaycard hasnt protected him from losing money to a scam,Refund of the lost funds,"Mr S made two payments of £2,000 each from his Barclays credit card to Coinbase, which he believed was a legitimate investment. However, he later realised that he had been scammed. Barclays did not reimburse Mr S's lost funds, so he referred his complaint to the Financial Ombudsman Service.","The Ombudsman found that Barclays was not unreasonable in allowing the payments to go through, as they were not sufficiently unusual to raise suspicion of fraud. Additionally, the Ombudsman found that Barclays was not able to recover the payments once they had been made, as the merchant (Coinbase) had legitimately provided the services intended.",Barclays Bank UK PLC
DRN-4409209,Mr M,Barclays Bank UK PLC,Banking,Delay in transferring his cash ISA from another provider into an ISA that he set up with Barclays.,Cash ISA,"ISA transfer, delay, incorrect information","ISA transfer process, communication between the bank and the customer, compensation for inconvenience",,,uphold,Simon Dibble,16 November 2023,Delay in transferring ISA,Financial loss and inconvenience caused by the delay.,Compensation for financial loss and inconvenience.,"Mr. M opened an ISA with Barclays and initiated a transfer from another provider on January 23, 2023. Barclays stated that the transfer could only be done via paper form, which caused a delay. The actual transfer took place on February 2, 2023.","The Ombudsman found that Barclays provided incorrect information about the transfer process and that an electronic transfer could have been made, which would have resulted in a quicker transfer. The Ombudsman also found that Mr. M suffered some inconvenience as a result of the delay.",Barclays Bank UK PLC
DRN-4411084,Mr S and Miss W,Accredited Insurance (Europe) Ltd,Insurance,Handling of their home insurance claim after an escape of water caused damage to their home and contents.,Home insurance policy,"Escape of water, Home insurance, Poor service","Settlement offer, Delays, Communication",,20 December 2022,uphold,Anne Muscroft,27 December 2023,Home insurance claim,"Poor service, delays, and low settlement offer","Fair settlement, compensation for distress and inconvenience, and improved customer service","Mr S and Miss W made a home insurance claim after an escape of water caused damage to their home and contents. They were dissatisfied with the handling of their claim, including delays, poor communication, and a low settlement offer.","The Ombudsman found that there were some avoidable delays and poor communication from the insurer, but that the delays were largely due to a high influx of claims and the time of year. The Ombudsman also found that the insurer's settlement offers for some items were fair, but agreed with the recommendation of the FOS investigator to review the settlement for certain items.",Accredited Insurance (Europe) Ltd
DRN-4411355,Mr and Mrs S,Accelerant Insurance Europe SA/NV,Insurance,Accelerant Insurance Europe SA/NV hasn't paid enough to settle a claim on their home insurance policy.,Home insurance policy,"Misrepresentation, Proportionate settlement, Premium","Disclosure of information, Calculation of settlement, Fairness",21326,,uphold,Alex Newman,17 November 2023,Home insurance claim for a diamond ring,"Accelerant Insurance Europe SA/NV settled the claim proportionately based on the premium for the ring, but the complainants believe the calculation should be based on the total premium paid for the entire policy.","The complainants want Accelerant Insurance Europe SA/NV to pay the full amount of the claim, which is 90.63% of the declared value of the ring.","Mr and Mrs S made a claim on their home insurance policy with Accelerant Insurance Europe SA/NV for a lost diamond ring. Accelerant accepted the claim but offered a proportionate settlement of 54% of the declared value, stating that the ring was underinsured. The complainants believe this calculation is unfair and have referred their complaint to the Financial Ombudsman Service.","The Ombudsman finds that Accelerant Insurance Europe SA/NV has not calculated the proportionate settlement fairly. The Ombudsman considers that the calculation should be based on the total premium paid for the entire policy, rather than just the amount charged for insuring the diamond ring. Therefore, the Ombudsman upholds the complaint and requires Accelerant Insurance Europe SA/NV to pay the complainants the full amount of the claim, minus any applicable policy excesses, and add 8% simple interest per year from the date of the interim payment until the date of settlement.",Accelerant Insurance Europe SA/NV UK Branch
