Case number,Complainant,Defendant,Defendant's industry,What was the complainant complaining about,What product involved in the complaint,Three key words on this complaint,Three key topics on this complaint,Claimed value in pounds,When did it happen? (date only),Final decision (uphold or opposite),Ombudsman's name,Decision deadline,what was the complaint relating to,what was the main reason that the complainant gave for them complaining,What did the complaint want,Summary of what happened,Summary of the Ombudsman's reasoning,Company
DRN-4306594,Mr R,Lloyds Bank PLC (Lloyds),Banking,"Lloyds Bank PLC (Lloyds) wont refund him the £6,500 he lost when he fell victim to a vehicle purchase scam.",Online banking,"APP scam, payment warning, reasonable basis for belief","CRM Code, effective warning, duty of care",6500.0,30 October 2021,do not uphold,Kathryn Milne,19 October 2023,Unauthorised payment,He was tricked into making a payment for a vehicle that he never received.,"A refund of the £6,500 he lost.","Mr R made a payment of £6,500 to a business account, believing he was purchasing a vehicle. However, the seller was a scammer and Mr R never received the vehicle. Lloyds Bank declined to refund the money, stating that Mr R did not have a reasonable basis for belief that the seller was genuine and that he ignored an effective warning.","The Ombudsman agreed with the bank's decision. While Mr R was the victim of a scam, he did not have a reasonable basis for believing that the seller was genuine. Additionally, the warning provided by the bank was not tailored to the specific APP scam risk indicators and was therefore not effective. The Ombudsman also found that the bank was not required to do more to try and prevent the scam or recover Mr R's funds.",Lloyds Bank PLC
DRN-4323453,Mr and Mrs H,Lloyds Bank PLC,Financial services,Unauthorised push payment (APP) scam and poor service,International payment,"APP scam, authorised payment, poor service","Payment fraud, customer due diligence, bank liability",4031.25,16 October 2020,Not upholding,Rebecca Connelley,1 November 2023,Unauthorised push payment scam and poor service,Lloyds failed to protect them from fraud and provided poor service when they reported it,"Full refund, £500 compensation, indemnity against legal costs","Mr H made an international payment of £4,031.25 believing it was a refundable bond to release shares. He reported it as a scam to Lloyds, who confirmed it was a scam but could not recover the money. Mr and Mrs H complained that Lloyds should have intervened to stop the payment and that they were misinformed about the payment being placed in a suspense account.","The Ombudsman found that Lloyds should have intervened as the payment was out of character, but that this would not have likely changed the outcome as Mr H had thoroughly checked the circumstances. The Ombudsman also found that Lloyds had fulfilled its obligations in terms of customer due diligence and that it had taken reasonable steps to try to recover the funds after the scam was reported.",Lloyds Bank PLC
DRN-4328376,Miss O,Lloyds Bank PLC,Banking,Lloyds Bank PLC's refusal to refund money lost to a scam.,Current account,"Scam, Crypto exchange, Payments","Fraud, Online security, Banking practices",7985.0,16 January 2023 to 18 January 2023,uphold in part,Dolores Njemanze,15 January 2024,Unauthorised payments made to a crypto exchange platform,The bank should have recognised the unusual spending pattern and prevented the payments.,"Refund of the money lost, compensation for financial loss and distress","Miss O was scammed into making payments to a crypto exchange platform, resulting in a total loss of £7,985. She reported the scam to Lloyds, but the bank declined to refund the money. Miss O complained to the Financial Ombudsman Service, arguing that Lloyds should have done more to prevent the payments.","The Ombudsman found that Lloyds should have reasonably suspected that Miss O's account was the subject of unusual activity after she attempted a £2,000 transaction to crypto exchange 2. The Ombudsman also found that Lloyds' questioning of Miss O during a phone call did not go far enough and that a meaningful warning from Lloyds could have prevented further losses. However, the Ombudsman also found that Miss O should have been more cautious and carried out more research on the proposal, and therefore a 50% deduction should be made for any compensation payable.",Lloyds Bank PLC
DRN-4337417,Mr C,Lloyds Bank PLC,Banking,Declined Section 75 claim under Consumer Credit Act 1974,Credit card,"['Section 75', 'Deposit refund', 'Cancellation policy']","['Consumer rights', 'Contract disputes', 'Financial services']",3780.0,4 February 2022,Dont uphold,Emma Davy,18 October 2023,Supplier failed to return deposit for a garden room after the order was cancelled.,Supplier breached the contract by not refunding the deposit within the agreed cancellation period.,Refund of the deposit,"Mr. C paid a deposit of £3,780 to a supplier for a garden room using his Lloyds credit card. Due to a change in circumstances, he cancelled the order within 14 days, but the supplier failed to refund the deposit. He raised a section 75 claim with Lloyds, which was declined.","The Ombudsman found that there was insufficient evidence to prove that the supplier breached the contract by failing to return the deposit within the 14-day cancellation period. The supplier's text message suggested that Mr. C had canceled after the 14-day period, and Mr. C's initial claim to Lloyds indicated that he had contacted the supplier in March 2022, which would have been outside the cancellation period.",Lloyds Bank PLC
DRN-4389241,Mr B and Mrs L,Lloyds Bank PLC,Banking,"Lloyds Bank PLC initially agreed to let them port Mr B's existing lending and add Mrs L to buy a new home, but at the last minute, Lloyds said no because of the property type.",Mortgage,"Mortgage porting, valuation, property type","Delays in mortgage application, Incorrect valuation of property, Lack of communication",,,uphold in part,Esther Absalom-Gough,7 November 2023,Mortgage application and valuation issues,"Lloyds Bank PLC's poor service, including delays, lack of communication, and an incorrect valuation of the property, caused them significant stress and financial loss.",Reinstatement of Mr B's previous mortgage or repayment of the early redemption fee (ERC) charged by Lloyds.,"Mr. B and Mrs. L applied to port Mr. B's existing mortgage to purchase a new property. Due to miscommunication and delays, their application faced several setbacks. Despite providing necessary information and documentation, the valuation report showed the property as partly commercial, leading to Lloyds' decision not to lend. The complainants felt they were not informed about this issue earlier, causing them stress and financial difficulties.","The Ombudsman acknowledged Lloyds' initial poor service and offered £150 as compensation. However, the main issue arose from the mortgage advisor's failure to communicate the property details accurately, which could have resulted in an earlier decision from Lloyds. While Lloyds was entitled to rely on the valuation report, the delay in identifying the property's status caused unnecessary distress to Mr. B and Mrs. L. Therefore, the Ombudsman increased the compensation to £500 to reflect the inconvenience and stress experienced by the complainants.",Lloyds Bank PLC
DRN-4389608,Mr B and Ms S,Lloyds Bank PLC,Financial services,Mis-selling of mortgage payment protection insurance (PPI) policy,Mortgage payment protection insurance (PPI) policy,"PPI, mis-selling, Lloyds Bank","PPI, affordability, suitability",,1998,Do not uphold,Carole Clark,10 November 2023,PPI,They didn't know they had PPI,The complaint wants the PPI to be cancelled and any premiums paid to be refunded.,Mr B and Ms S took out a mortgage with Lloyds Bank in 1998 and were sold PPI. They claim that they were not aware that they had PPI and that it was added to their mortgage without their knowledge or consent. Lloyds Bank denies this and says that Mr B and Ms S signed a mortgage application form that included a statement saying that they had received information about PPI and wished to apply for cover.,"The Ombudsman considered all the available evidence and arguments and concluded that it is more likely than not that Mr B and Ms S agreed to buy the PPI policy, even if they no longer remember doing so. The Ombudsman also found that the PPI was suitable for Mr B and Ms S's needs and that they were provided with sufficient information to make an informed decision about whether or not to buy the policy.",Lloyds Bank PLC
DRN-4404874,Mr K,Lloyds Bank PLC,Banking,"Unauthorised transactions totalling over £30,000 made from his savings account to a social media platform called T.",Savings account and current account,"Unauthorised transactions, Fraud, Online banking","Security, Authentication, Liability",30000.0,,Do not uphold,Sharon Kerrison,1 January 2024,Unauthorised transactions and Lloyds' refusal to refund the disputed amount,Mr. K believes that someone else managed to obtain his account information and make the unauthorised transactions.,Refund of the disputed transactions and an acknowledgement that he was a victim of fraud.,"Mr. K noticed unauthorised transactions from his savings account to a social media platform called T. He reported the issue to Lloyds, but the bank declined to refund the disputed amount stating that the transactions were authenticated and appeared to be authorised by Mr. K. Mr. K maintained that he did not make the transactions and filed a complaint with the Financial Ombudsman Service.","The Ombudsman considered the technical evidence provided by Lloyds and concluded that it was likely that Mr. K authorised the disputed transactions. The Ombudsman noted that the transfers were made from Mr. K's registered mobile device, using his usual internet connection, and with his security details. The Ombudsman also found it unlikely that an unknown third party would have been able to obtain all of Mr. K's security information and carry out the transactions without his knowledge or consent.",Lloyds Bank PLC
DRN-4406348,Mr L,Lloyds Bank Plc,Banking,Lloyds Bank Plc didn't do enough to prevent him losing money to a scam.,Current account,"scam, payments, cryptocurrency","fraud, customer protection, payment processing",38000.0,May and June 2022,opposite,Richard Annandale,27 November 2023,Payments made from his account to a cryptocurrency exchange C were unauthorised and should have been stopped by the bank.,"He believes that Lloyds Bank Plc should have done more to prevent the payments, as they were unusual and out of character for his account.",He wants Lloyds Bank Plc to refund the money he lost.,"Mr L contacted Lloyds Bank Plc in February 2023 to raise a fraud claim and complain about a series of 18 payments totalling around £38,000 that had been made from his account in May and June 2022. He alleged that the payments had been made as the result of a scam. Lloyds Bank Plc investigated the complaint but did not offer any redress. Mr L referred his complaint to the Financial Ombudsman Service.",The Ombudsman considered all the available evidence and arguments and concluded that Lloyds Bank Plc was not responsible for the loss as the payments were not so unusual or suspicious that it was reasonable to expect the bank to have intervened at the time. The Ombudsman also noted that Mr L had previously made many payments to the cryptocurrency exchange C and that it was not unusual for him to make larger outgoing payments or multiple such payments in one day.,Lloyds Bank PLC
DRN-4407543,Mr W,Lloyds Bank PLC,Financial services,Lloyds Bank's handling of his claim for a car he paid for in part using a credit card.,Credit card,"car, credit card, claim","Consumer rights, financial services, product quality",,,opposite,Simon Wingfield,18 January 2024,The quality of a used car purchased using a credit card and the subsequent claim made under section 75 of the Consumer Credit Act 1974.,The car developed faults shortly after purchase and the supplying dealer was unable to resolve the issues. Lloyds Bank declined his claim under section 75 due to lack of evidence that the car was of unsatisfactory quality at the point of sale.,A full refund for the car under section 75 of the Consumer Credit Act 1974.,"Mr W purchased a used car in December 2020 using his Lloyds credit card. The car developed faults in April 2022 and was inspected by a manufacturer dealer who identified issues with the engine. Mr W submitted a claim under section 75 of the Consumer Credit Act 1974, which Lloyds declined due to lack of evidence. Mr W complained to the Financial Ombudsman Service.","The Ombudsman found that there was insufficient evidence to determine that the faults with the car were present or developing at the point of sale. While acknowledging that there were issues with the car, the Ombudsman considered the age and mileage of the vehicle and the repairs carried out by Mr W. The Ombudsman concluded that Lloyds had allowed enough time for Mr W to supply evidence and that its response to the claim was not unfair.",Lloyds Bank PLC
DRN-4440755,Mr D,Lloyds Bank PLC,Banking,Lloyds Bank PLC defaulted his credit card account and sold it to a debt recovery agency.,Credit card,"Default notice, Payment plan, Communication error","Defaulting of the account, Inaccurate information provided by bank agent, Miscommunication between the bank and the customer",,,uphold,Paul Cooper,5 December 2023,The complainant was unhappy that Lloyds Bank PLC defaulted his credit card account and sold it to a debt recovery agency.,The complainant felt that Lloyds Bank PLC had made mistakes in the way they had administered his account and that he had been given incorrect information by a bank agent.,"The complainant wanted Lloyds Bank PLC to recall the account from the debt recovery agency, reinstate it, and remove the default from his credit file.","Mr. D had a Lloyds credit account that was in arrears. He agreed to a three-month nil-payment plan with Lloyds in September 2022, but Lloyds still issued a default notice in November 2022. Mr. D contacted Lloyds and was told not to worry about the notice as he was on the payment plan. In December 2022, he agreed to a new ten-month payment plan, but Lloyds had already defaulted on the account and sold the debt to a debt recovery agency.",The Ombudsman found that Lloyds Bank PLC was at fault for issuing the default notice while Mr. D was on a payment plan and for providing incorrect information to Mr. D about the notice. The Ombudsman also found that Mr. D could have taken steps to mitigate the situation by providing clearer communication on a phone call with Lloyds.,Lloyds Bank PLC
DRN-4452884,Mr S,Lloyds Bank PLC,Banking,Lloyds Bank PLC has not fully reimbursed him for a series of transactions he lost to scams.,Cryptocurrency investment,"scam, cryptocurrency, investment","unauthorized transactions, duty of care, reasonable steps",,October 2022,do not uphold,Rebecca Norris,29 December 2023,unauthorized transactions,He felt that Lloyds Bank PLC should have done more to protect his account from financial harm and that they should have intervened and spoken with him prior to processing the suspicious payments.,"A full refund of the payments he lost to the scams, as well as compensation for the distress and inconvenience caused.","Mr. S was scammed into making a series of payments to cryptocurrency platforms, which he believed were legitimate investments. Lloyds Bank PLC did not intervene to stop the payments, even though they were suspicious. Mr. S complained to Lloyds Bank PLC, who offered him a partial refund of the payments, which he rejected.","The Ombudsman found that Lloyds Bank PLC should have intervened to stop the payments from the point at which a pattern of suspicious activity emerged. However, the Ombudsman also found that Mr. S should bear some responsibility for his loss, as he did not do enough due diligence before making the payments. The Ombudsman therefore agreed with Lloyds Bank PLC's offer of a partial refund.",Lloyds Bank PLC
DRN-4454029,"Mr R, on behalf of G",Lloyds Bank PLC,Banking,Lloyds Bank PLC's refusal to refund money lost due to an authorised push payment (APP) scam.,Business account,"APP scam, authorised payment, intervention failure","Payment fraud, customer protection, bank's duty of care",15000.0,16 November 2022,uphold in part,Rebecca Connelley,26 December 2023,Unauthorised payment,Failure of Lloyds Bank to prevent fraudulent transactions despite red flags.,Refund of the lost amount and acknowledgement of bank's responsibility.,"Mr R, while attempting to invest in cryptocurrency, made three payments totalling £15,000 to a new account opened under his name by a scammer. Despite the second payment being significantly higher than usual and indicative of fraud, Lloyds Bank failed to intervene and prevent the subsequent losses.","The Ombudsman held that Lloyds Bank should have intervened when Mr R made the second payment of £10,000 as it was out of character for the account and there were signs of potential fraud. Lloyds Bank's failure to conduct basic checks and provide warnings about the risks of cryptocurrency investment contributed to Mr R's losses. While Mr R also bears some responsibility for not conducting thorough due diligence, the bank's expertise in fraud prevention should have prompted intervention.",Lloyds Bank PLC
DRN-4467936,Mr and Ms Q,Lloyds Bank PLC,Banking,Missing out on a new fixed interest rate product despite being clear that they wished to secure that rate as soon as possible.,Buy-to-let mortgage,"Interest rate, Fixed rate, Mortgage","Financial loss, Misinformation, Unfair treatment",,29 September 2022,uphold,Ken Rose,19 December 2023,Failure to secure a new fixed interest rate product,Lloyds did not provide clear and timely information about the possibility of interest rate products being withdrawn without notice.,Compensation for the difference between the 4.16% fixed rate they wanted and the 5.19% fixed rate they turned down.,"Mr and Ms Q attempted to secure a 4.16% fixed interest rate for their buy-to-let mortgage with Lloyds Bank PLC on 29 September 2022. However, due to miscommunication and limited options provided by Lloyds, they were unable to secure the desired rate and missed out on the opportunity. Despite expressing their willingness to wait on the phone for several hours to secure the rate, Lloyds did not adequately inform them of this option.","The Ombudsman acknowledged that Lloyds did not treat Mr and Ms Q fairly by not providing clear information and options to secure the interest rate. However, due to insufficient evidence to conclude that they would have been able to successfully secure the rate even if they had been given the correct information, the Ombudsman determined that Lloyds should not be held liable for the financial loss. Nevertheless, the Ombudsman considered the distress and inconvenience caused to Mr and Ms Q and awarded them £150 as fair compensation.",Lloyds Bank PLC
DRN-4495722,Miss B,Lloyds Bank PLC,Banking,"Poor service, including incorrect payment of compensation, long waiting times on the phone, and lack of alternative security questions.","Compensation payment, bank accounts","compensation, inconvenience, communication","incorrect payment, long waiting times, alternative security questions",,,uphold,Sandra Greene,2 January 2024,"Incorrect payment of compensation, long waiting times on the phone, and lack of alternative security questions.",Frustration and inconvenience caused by the bank's actions.,Compensation for the inconvenience caused.,"Miss B complained about several issues with Lloyds Bank, including incorrect payment of compensation, long waiting times on the phone, and lack of alternative security questions. Lloyds acknowledged some of the issues but did not agree with all of Miss B's complaints. The Ombudsman found that Lloyds could have handled Miss B's calls better and awarded her £100 in compensation.","The Ombudsman found that Lloyds could have handled Miss B's calls better, particularly in relation to the long waiting times and the lack of alternative security questions. The Ombudsman also found that Lloyds was not at fault for paying the compensation into an incorrect account, as Miss B had not specified a specific account for the payment.",Lloyds Bank PLC
